Timestamp,acc.z,pwm.m1_pwm,pwm.m2_pwm,pwm.m3_pwm,pwm.m4_pwm
344282,1.0006377696990967,0,0,0,0
344292,1.0003719329833984,0,0,0,0
344302,1.0007884502410889,0,0,0,0
344312,1.0004209280014038,0,0,0,0
344322,1.0011405944824219,0,0,0,0
344332,1.0036457777023315,0,0,0,0
344342,1.000467300415039,0,0,0,0
344352,0.9988948702812195,0,0,0,0
344362,0.9992825984954834,0,0,0,0
344372,0.9989268779754639,0,0,0,0
344382,0.9984663128852844,0,0,0,0
344392,1.001166582107544,0,0,0,0
344402,0.9992685914039612,0,0,0,0
344412,1.0001939535140991,0,0,0,0
344422,0.9978569746017456,0,0,0,0
344432,0.9981205463409424,0,0,0,0
344442,0.9990140795707703,0,0,0,0
344452,0.998518168926239,0,0,0,0
344462,1.001157522201538,0,0,0,0
344472,1.0003324747085571,0,0,0,0
344482,0.998117208480835,0,0,0,0
344492,0.9986156821250916,0,0,0,0
344502,0.9996612668037415,0,0,0,0
344512,0.9997676014900208,0,0,0,0
344522,0.9974732398986816,0,0,0,0
344532,0.9998595714569092,0,0,0,0
344542,0.9999316334724426,0,0,0,0
344552,1.0010484457015991,0,0,0,0
344562,0.9976548552513123,0,0,0,0
344572,0.9991729855537415,0,0,0,0
344582,1.0001246929168701,0,0,0,0
344592,0.989286482334137,0,0,0,0
344602,1.0002514123916626,0,0,0,0
344612,1.0024118423461914,0,0,0,0
344622,0.9984902739524841,0,0,0,0
344632,1.0039730072021484,0,0,0,0
344642,0.9991218447685242,0,0,0,0
344652,0.9990624189376831,0,0,0,0
344662,1.0017108917236328,0,0,0,0
344672,1.0033376216888428,0,0,0,0
344682,0.997503399848938,0,0,0,0
344692,1.0016593933105469,0,0,0,0
344702,1.0000319480895996,0,0,0,0
344712,0.9980676174163818,0,0,0,0
344722,1.0011980533599854,0,0,0,0
344732,0.9991610646247864,0,0,0,0
344742,1.0022594928741455,0,0,0,0
344752,0.9991592764854431,0,0,0,0
344762,1.0001720190048218,0,0,0,0
344772,1.0041955709457397,0,0,0,0
344782,1.000137448310852,0,0,0,0
344792,1.0008454322814941,0,0,0,0
344802,1.0007814168930054,0,0,0,0
344812,1.0023194551467896,0,0,0,0
344822,1.002160668373108,0,0,0,0
344832,1.0013346672058105,0,0,0,0
344842,1.001466989517212,0,0,0,0
